gene;ratio;pval;qval
Sec23a;0.534;0.001254799;0.023289551
Rtn3;0.677;0.00125559;0.023289551
Nox4;-1.254;0.001266094;0.023440491
Aff4;-2.176;0.001269283;0.023447528
Parva;-0.99;0.001271209;0.023447528
Rpl7a;-2.413;0.001301559;0.02396271
Fchsd2;-1.38;0.001319629;0.024205416
Slc44a3;2.217;0.001318366;0.024205416
Clstn1;1.711;0.001344034;0.0246075
Guca2b;0.455;0.001355205;0.024766247
Epha5;-2.714;0.001367705;0.02492766
Mar-02;0.446;0.001369071;0.02492766
Lypd8;0.559;0.001379228;0.025066517
Cflar;-2.51;0.001381787;0.025067041
Rac2;-2.067;0.001399814;0.025347639
H2-Q7;-2.635;0.001410419;0.025493065
Mmp12;-0.956;0.001413179;0.025496427
Cltc;-2.472;0.001426452;0.025689112
Trac;-2.274;0.001432541;0.025707801
Bad;2.442;0.001432681;0.025707801
Yars;-0.745;0.001453898;0.026009511
Mid1;-2.708;0.001454747;0.026009511
Tuba1b;-1.642;0.001459372;0.026045197
Acad9;-0.991;0.001474058;0.026259979
Ets1;-2.341;0.001496233;0.026584365
Mdh1;0.349;0.001498185;0.026584365
Ccdc7b;-1.67;0.001500319;0.026584365
Rad1;-1.48;0.001551287;0.027425336
Tmem30a;0.855;0.001553318;0.027425336
Sis;0.709;0.001562643;0.027540886
Ltbr;0.768;0.001571421;0.02764641
Gm11434;0.656;0.001581662;0.027777242
Vnn1;1.581;0.001597673;0.028008763
Rpia;-1.799;0.001604566;0.028079898
Megf11;-1.518;0.001628874;0.028455024
Erap1;1.862;0.001642036;0.028634452
Psmb9;-0.739;0.001659763;0.028892707
Kif1b;2.187;0.001663558;0.028907966
Msh3;-2.271;0.001684122;0.029214056
Slc2a5;1.135;0.001702706;0.029484795
Apc;-1.036;0.001757249;0.030376181
Itgb1;0.711;0.001788136;0.030856253
Tmem72;-1.049;0.001801035;0.031024782
Oasl2;1.037;0.001817951;0.031261815
Acer2;-1.363;0.001823514;0.031303138
D1Ertd622e;-0.856;0.001828343;0.031331725
Crlf3;-1.02;0.001835873;0.031406435
Gm20699;-2.109;0.001852714;0.031639877
Uevld;-2.247;0.001881912;0.032083191
Amfr;1.632;0.001893576;0.032226582
Zfp169;-2.373;0.001897134;0.032231761
Ido1;-2.056;0.001908709;0.032372877
H2-Q6;-1.781;0.001912284;0.032378069
Gm11032;-1.6;0.001927086;0.032573021
Xk;1.96;0.001943198;0.032789404
Gm1123;0.542;0.001951043;0.032865781
Kdm2a;0.737;0.001962585;0.03300408
Lgals4;-0.489;0.00198371;0.033302791
Marf1;0.536;0.001993624;0.033412592
Lmtk2;1.692;0.002001714;0.033491512
Tarsl2;-2.016;0.002006451;0.033514161
Ganab;1.051;0.002041288;0.034038642
Pcdhb22;-1.078;0.002046389;0.034066358
Arhgef6;-2.151;0.002058313;0.03420737
Pi15;-1.057;0.002085555;0.034602041
Slc35f5;0.65;0.002091238;0.034638318
Papss2;0.321;0.002110264;0.034895093
Zcchc9;-2.787;0.002142277;0.035306584
Cmtm4;0.854;0.002139739;0.035306584
Slc27a2;0.958;0.002178559;0.035758867
Slc2a13;-2.196;0.002174333;0.035758867
