gene,Stem cell,TA,Enterocytes [early],Enterocytes [interm],Enterocytes [mature],Paneth,Goblet,Enteroendocrine,Tuft,CD4,CD8,gdT,ILC3,Plasma,cDC,Macrophages,MastCell,Capillary endothel,Lymphatic endothel,Arterial endothel,Venous endothel,Fibroblasts,Pericytes,Neuronal
ITPKB,2.76E-06,2.19E-06,3.46E-06,2.95E-06,4.66E-06,0,4.79E-06,0,5.27E-06,0,7.59E-06,7.82E-06,0,0,0,0,3.61E-05,4.02E-05,2.85E-05,3.83E-05,6.60E-05,2.77E-05,9.75E-06,0
ITPKC,6.96E-06,4.95E-06,9.93E-06,1.55E-05,1.46E-05,4.39E-06,3.42E-06,3.05E-06,8.89E-06,0,1.95E-06,6.52E-06,0,4.12E-06,0,1.84E-05,0,6.74E-05,9.24E-06,2.16E-05,1.35E-05,5.24E-06,2.02E-05,0
ITPR1,1.84E-06,1.31E-06,1.63E-06,6.63E-07,3.21E-07,2.74E-06,4.48E-07,3.97E-05,9.08E-07,0,3.12E-05,2.03E-05,0,1.19E-05,8.85E-06,1.55E-06,5.25E-05,2.16E-05,0.000104497,0.000138519,8.71E-05,5.75E-05,1.29E-05,8.66E-05
ITPR1-DT,0,0,1.28E-07,7.13E-08,6.31E-08,0,0,0,0,0,1.55E-06,1.63E-06,0,0,0,0,0,0,3.87E-06,0,0,0,0,0
ITPR2,2.55E-05,2.00E-05,1.95E-05,2.92E-05,3.62E-05,0.000208914,0.000105327,4.87E-05,0.000821545,0,3.96E-05,3.60E-05,0,3.76E-05,3.07E-05,4.29E-05,3.36E-05,0,6.90E-05,0.000308561,0.000203128,1.38E-05,1.65E-05,0
ITPR3,3.49E-05,6.51E-05,5.97E-05,4.94E-05,7.87E-05,2.77E-05,8.87E-05,5.23E-05,6.83E-06,0.000139228,7.62E-06,1.17E-05,0,5.97E-05,0,1.48E-05,1.70E-05,3.53E-05,2.07E-05,7.78E-05,4.15E-05,5.68E-06,3.33E-05,0
ITPRID1,0,4.34E-07,1.08E-07,5.68E-08,0,0,0,0,0.00014778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITPRID2,2.11E-05,2.23E-05,2.13E-05,4.35E-05,4.49E-05,2.48E-05,2.99E-05,6.91E-05,1.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITPRIP,2.30E-06,3.67E-06,1.16E-06,1.57E-06,1.33E-06,0,9.99E-07,0,0,6.17E-05,1.81E-05,3.01E-05,3.38E-05,5.66E-06,0,8.62E-06,0,0,5.19E-05,7.08E-05,6.13E-05,6.30E-05,3.63E-06,0.000160687
ITPRIP-AS1,5.05E-08,0,0,0,0,6.33E-07,0,5.62E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITPRIPL2,1.66E-05,1.83E-05,2.33E-05,1.92E-05,2.01E-05,3.41E-05,4.72E-05,1.88E-05,1.02E-05,0,7.56E-07,6.91E-06,0,2.54E-06,0,5.62E-05,0,0.000112105,2.26E-05,2.86E-05,2.84E-05,3.65E-05,3.42E-05,0
